 820-3399-a        Tebo-ICT,  license #YunTaiLi

 Test Fixture Nails     377/377  Selected Drills           01-January-2012 05:54
                        377 Nails,  1318 Nets               Metric units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$165      67.300    77.450   3  D1   (B)  #308  PP6V0_LCM_VBOOST T PIN TB_TP310.1
$166      65.720    72.840   1  D1   (B)  #319  PPLED_OUT_B      T PIN TB_TP295.1
$167      62.470    73.356   2  D1   (B)  #24   PP1V8_S2R        T PIN TB_TP288.1
$168      61.720    71.985   3  D1   (B)  #451  PMU_GPIO_BB2PMU_HOST_WAKE T PIN TB_TP159.1
$169      60.925    70.550   2  D1   (B)  #446  PMU_GPIO_BB_VBUS_DET T PIN TB_TP160.1
$170      57.895    71.465   3  D1   (B)  #68   PPBATT_VCC       T PIN TB_TP178.1
$171      57.920    72.760   3  D1   (B)  #32   GND_AUDIO_CODEC  T PIN TB_TP327.1
$172      56.600    75.060   1  D1   (B)  #50   L81_SPEAKER_VQ   T PIN TB_TP242.1
$173      55.100    73.970   3  D1   (B)  #1040 PMU_GPIO_CODEC_HS_INT_L T PIN TB_TP245.1
$174      53.900    74.410   3  D1   (B)  #912  SPI3_CODEC_MOSI  T PIN TB_TP120.1
$175      54.340    70.430   4  D1   (B)  #54   PP1V7_VCP        T PIN TB_TP153.1
$176      51.475    73.975   2  D1   (B)  #58   AIN3N            T PIN TB_TP19.1
$177      50.800    75.600   2  D1   (B)  #57   AIN3P            T PIN TB_TP18.1
$178      52.520    75.525   3  D1   (B)  #373  DMIC1_FF_SCLK    T PIN TB_TP261.1
$179      51.685    77.510   1  D1   (B)  #305  PPBATT_POS_RC    T PIN TB_TP305.1
$180      50.810    80.490   1  D1   (B)  #89   PP3V0_ACCEL      T PIN TB_TP175.1
$181      52.320    80.490   4  D1   (B)  #1056 SPI_OSCAR2ACCEL_CS_L T PIN TB_TP207.1
$182      53.330    80.490   3  D1   (B)  #750  GYRO_DEN         T PIN TB_TP41.1
$183      54.880    80.490   3  D1   (B)  #1054 GYRO2OSCAR_INT1  T PIN TB_TP218.1
