 820-3399-a        Tebo-ICT,  license #YunTaiLi

 Board Outline Contour             Metric units               01-January-2012 05:54

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

   -2.924       9.445       0.000
   -2.942       9.462       0.000
   -2.960       9.478       0.000
   -2.977       9.495       0.000
   -2.994       9.512       0.000
   -3.011       9.529       0.000
   -3.027       9.546       0.000
   -3.044       9.564       0.000
   -3.060       9.581       0.000
   -3.076       9.599       0.000
   -3.092       9.617       0.000
   -3.107       9.635       0.000
   -3.123       9.654       0.000
   -3.138       9.673       0.000
   -3.153       9.691       0.000
   -3.167       9.710       0.000
   -3.182       9.730       0.000
   -3.196       9.749       0.000
   -3.210       9.769       0.000
   -3.224       9.788       0.000
   -3.237       9.808       0.000
   -3.250       9.828       0.000
   -3.264       9.848       0.000
   -3.276       9.869       0.000
   -3.289       9.889       0.000
   -3.301       9.910       0.000
   -3.313       9.931       0.000
   -3.325       9.951       0.000
   -3.337       9.973       0.000
   -3.348       9.994       0.000
   -3.359      10.015       0.000
   -3.370      10.037       0.000
   -3.380      10.058       0.000
   -3.390      10.080       0.000
   -3.400      10.102       0.000
   -3.410      10.124       0.000
   -3.420      10.146       0.000
   -3.429      10.168       0.000
   -3.438      10.190       0.000
   -3.446      10.213       0.000
   -3.455      10.235       0.000
   -3.463      10.258       0.000
   -3.471      10.280       0.000
   -3.478      10.303       0.000
   -3.486      10.326       0.000
   -3.493      10.349       0.000
   -3.499      10.372       0.000
   -3.506      10.395       0.000
   -3.512      10.418       0.000
   -3.518      10.442       0.000
   -3.524      10.465       0.000
   -3.529      10.488       0.000
   -3.534      10.512       0.000
   -3.539      10.535       0.000
   -3.543      10.559       0.000
   -3.548      10.583       0.000
   -3.552      10.606       0.000
   -3.555      10.630       0.000
   -3.559      10.654       0.000
   -3.562      10.678       0.000
   -3.565      10.702       0.000
   -3.567      10.725       0.000
   -3.569      10.749       0.000
   -3.571      10.773       0.000
   -3.573      10.797       0.000
   -3.574      10.821       0.000
   -3.575      10.845       0.000
   -3.576      10.869       0.000
   -3.577      10.893       0.000
   -3.577      10.917       0.000
   -3.577      10.923       0.000
   -3.577      47.420       0.000
   -3.573      47.444       0.000
   -3.569      47.468       0.000
   -3.566      47.491       0.000
   -3.561      47.515       0.000
   -3.557      47.538       0.000
   -3.552      47.562       0.000
   -3.547      47.585       0.000
   -3.541      47.609       0.000
   -3.535      47.632       0.000
   -3.530      47.655       0.000
