 Gerber_20200211(820-01839-a_v7)        Tebo-ICT,  license #XunKeDa

 Board Outline Contour             Metric units               11-February-2020 11:11

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

  186.427       5.993       0.000
  186.449       5.966       0.000
  186.470       5.938       0.000
  186.488       5.909       0.000
  186.505       5.878       0.000
  186.519       5.846       0.000
  186.531       5.813       0.000
  186.540       5.779       0.000
  186.548       5.745       0.000
  186.552       5.711       0.000
  186.555       5.676       0.000
  186.555       5.658       0.000
  186.555       2.356       0.000
  186.557       2.301       0.000
  186.563       2.245       0.000
  186.573       2.190       0.000
  186.586       2.136       0.000
  186.604       2.083       0.000
  186.624       2.031       0.000
  186.649       1.981       0.000
  186.677       1.933       0.000
  186.708       1.886       0.000
  186.743       1.842       0.000
  186.780       1.801       0.000
  186.820       1.762       0.000
  186.863       1.726       0.000
  186.908       1.693       0.000
  186.955       1.664       0.000
  187.005       1.638       0.000
  187.056       1.615       0.000
  187.108       1.596       0.000
  187.162       1.580       0.000
  187.217       1.569       0.000
  187.272       1.561       0.000
  187.328       1.557       0.000
  187.355       1.557       0.000
  191.824       1.557       0.000
  191.894       1.554       0.000
  191.963       1.547       0.000
  192.032       1.535       0.000
  192.100       1.518       0.000
  192.166       1.496       0.000
  192.231       1.470       0.000
  192.293       1.439       0.000
  192.354       1.404       0.000
  192.412       1.366       0.000
  192.467       1.323       0.000
  192.519       1.276       0.000
  192.567       1.226       0.000
  192.612       1.172       0.000
  192.619       1.164       0.000
  192.633       1.146       0.000
  192.647       1.127       0.000
  192.662       1.109       0.000
  192.677       1.091       0.000
  192.691       1.073       0.000
  192.706       1.056       0.000
  192.721       1.038       0.000
  192.737       1.021       0.000
  192.752       1.003       0.000
  192.768       0.986       0.000
  192.784       0.969       0.000
  192.800       0.952       0.000
  192.816       0.935       0.000
  192.832       0.919       0.000
  192.848       0.902       0.000
  192.865       0.886       0.000
  192.882       0.870       0.000
  192.898       0.854       0.000
  192.915       0.838       0.000
  192.933       0.823       0.000
  192.950       0.807       0.000
  192.967       0.792       0.000
  192.985       0.776       0.000
  193.002       0.761       0.000
