 Gerber_20200211(820-01839-a_v7)        Tebo-ICT,  license #XunKeDa
R259_W        48.106   -14.988    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2660         21.769    14.869  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2661         22.139    14.869  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2662         22.528    14.851  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2663         23.608    17.775    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2664         22.907    14.860  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2665         23.608    17.393    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2666         23.434    18.739    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2667         22.744    18.759    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2668         20.832    18.485   90.0  AA   (T)  'RES-0201-HP26', 'RES-0201-HP26'
R2669         21.924    18.801  180.0  AA   (T)  'RES-0201-HP26', 'RES-0201-HP26'
R2700          4.191    -6.495   90.0  AA   (T)  'RES-0201-HP33', 'RES-0201-HP33'
R2720         22.794    54.473  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2730         20.789    35.616   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2731         22.589    35.573   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2840          2.460   -11.644   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R2940         23.567    19.463    0.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R3000        135.905   -11.001    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3001        135.912    -9.618  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3002        136.063   -11.583   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3200        146.342    -6.923  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3201        152.594    -3.177    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3202        145.550    -1.650   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3203        145.285    -3.905  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3251        155.138    -6.685  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3260        146.779    -6.943   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3301        154.750     0.050  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3303        145.550    -0.950  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3351        156.703    -2.694    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3360        148.109    -3.383   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3401         45.081     1.855   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3403         49.995     4.757  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
